,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,31,15,16,25,2,4,84,22,62,77
0,2,Liverpool,31,16,15,23,7,1,70,18,52,76
4,3,Man Utd,31,16,15,18,7,6,60,40,20,63
3,4,Arsenal,31,15,16,18,7,6,66,42,24,62
2,5,Spurs,30,16,14,20,1,9,57,32,25,61
5,6,Chelsea,31,15,16,17,7,7,50,33,17,59
6,7,Wolves,32,16,16,12,10,10,43,41,2,59
8,8,West Ham,32,15,17,12,7,13,42,47,-5,44
7,9,Watford,32,17,15,12,7,13,42,48,-6,44
11,10,Bournemouth,32,16,16,12,5,15,45,57,-12,43
10,11,Everton,32,16,16,11,8,13,44,43,1,42
9,12,Leicester,32,16,16,12,5,15,41,45,-4,42
15,13,Southampton,32,17,15,9,9,14,37,50,-13,39
12,14,Newcastle,31,15,16,9,8,14,31,40,-9,38
13,15,Crystal Palace,31,15,16,9,7,15,36,41,-5,36
14,16,Brighton,32,16,16,9,8,15,32,43,-11,35
16,17,Burnley,32,16,16,8,7,17,37,61,-24,31
17,18,Cardiff,31,15,16,8,5,18,27,57,-30,29
18,19,Fulham,32,16,16,4,5,23,30,75,-45,17
19,20,Huddersfield,32,16,16,3,6,23,18,57,-39,15
