,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,37,19,18,28,7,2,83,24,59,91
1,2,Man City,37,18,19,28,4,5,93,27,66,88
2,3,Spurs,37,19,18,22,5,10,66,38,28,71
5,4,Chelsea,37,18,19,20,8,9,58,46,12,68
3,5,Arsenal,37,18,19,19,9,9,69,47,22,66
4,6,Man Utd,37,19,18,18,9,10,68,53,15,63
6,7,Wolves,37,18,19,15,10,12,44,40,4,55
7,8,Watford,37,19,18,15,9,13,50,52,-2,54
10,9,Everton,37,18,19,14,9,14,50,47,3,51
9,10,Leicester,37,19,18,15,6,16,45,47,-2,51
8,11,West Ham,37,18,19,14,7,16,47,52,-5,49
12,12,Newcastle,37,18,19,13,9,15,44,44,0,48
11,13,Bournemouth,37,18,19,12,8,17,50,64,-14,44
13,14,Crystal Palace,37,19,18,11,10,16,44,45,-1,43
14,15,Brighton,37,19,18,10,9,18,39,55,-16,39
16,16,Burnley,37,19,18,10,8,19,41,64,-23,38
15,17,Southampton,37,19,18,8,10,19,39,62,-23,34
17,18,Cardiff,37,18,19,9,6,22,35,75,-40,33
18,19,Fulham,37,19,18,6,7,24,37,78,-41,25
19,20,Huddersfield,37,18,19,4,8,25,23,65,-42,20
